,Language,Compressions
0,en2ta,"tensor(0.5333, dtype=torch.float64)"
1,en2ta,"tensor(0.4751, dtype=torch.float64)"
2,en2ta,"tensor(0.4651, dtype=torch.float64)"
3,en2ta,"tensor(0.4673, dtype=torch.float64)"
4,en2ta,"tensor(0.4724, dtype=torch.float64)"
5,en2ta,"tensor(0.5258, dtype=torch.float64)"
6,en2ta,"tensor(0.5642, dtype=torch.float64)"
7,en2ta,"tensor(0.5875, dtype=torch.float64)"
8,en2ta,"tensor(0.4702, dtype=torch.float64)"
9,en2ta,"tensor(0.4946, dtype=torch.float64)"
10,en2ta,"tensor(0.5623, dtype=torch.float64)"
11,en2ta,"tensor(0.4936, dtype=torch.float64)"
12,en2ta,"tensor(0.5009, dtype=torch.float64)"
13,en2ta,"tensor(0.4589, dtype=torch.float64)"
14,en2ta,"tensor(0.4813, dtype=torch.float64)"
15,en2ta,"tensor(0.4614, dtype=torch.float64)"
16,en2ta,"tensor(0.4862, dtype=torch.float64)"
17,en2ta,"tensor(0.4851, dtype=torch.float64)"
18,en2ta,"tensor(0.4683, dtype=torch.float64)"
19,en2ta,"tensor(0.4664, dtype=torch.float64)"
20,en2ta,"tensor(0.5131, dtype=torch.float64)"
21,en2ta,"tensor(0.5021, dtype=torch.float64)"
22,en2ta,"tensor(0.5822, dtype=torch.float64)"
23,en2ta,"tensor(0.5037, dtype=torch.float64)"
24,en2ta,"tensor(0.4985, dtype=torch.float64)"
25,en2ta,"tensor(0.4683, dtype=torch.float64)"
26,en2ta,"tensor(0.5556, dtype=torch.float64)"
27,en2ta,"tensor(0.4861, dtype=torch.float64)"
28,en2ta,"tensor(0.4060, dtype=torch.float64)"
29,en2ta,"tensor(0.4756, dtype=torch.float64)"
30,en2ta,"tensor(0.4760, dtype=torch.float64)"
31,en2ta,"tensor(0.4932, dtype=torch.float64)"
32,en2ta,"tensor(0.4756, dtype=torch.float64)"
33,en2ta,"tensor(0.4606, dtype=torch.float64)"
34,en2ta,"tensor(0.4642, dtype=torch.float64)"
35,en2ta,"tensor(0.4762, dtype=torch.float64)"
36,en2ta,"tensor(0.4449, dtype=torch.float64)"
37,en2ta,"tensor(0.4701, dtype=torch.float64)"
38,en2ta,"tensor(0.5373, dtype=torch.float64)"
39,en2ta,"tensor(0.4723, dtype=torch.float64)"
40,en2ta,"tensor(0.4047, dtype=torch.float64)"
41,en2ta,"tensor(0.4756, dtype=torch.float64)"
42,en2ta,"tensor(0.4926, dtype=torch.float64)"
43,en2ta,"tensor(0.4496, dtype=torch.float64)"
44,en2ta,"tensor(0.5312, dtype=torch.float64)"
45,en2ta,"tensor(0.4924, dtype=torch.float64)"
46,en2ta,"tensor(0.5756, dtype=torch.float64)"
47,en2ta,"tensor(0.5562, dtype=torch.float64)"
48,en2ta,"tensor(0.4724, dtype=torch.float64)"
49,en2ta,"tensor(0.5170, dtype=torch.float64)"
50,en2ta,"tensor(0.5150, dtype=torch.float64)"
51,en2ta,"tensor(0.4911, dtype=torch.float64)"
52,en2ta,"tensor(0.5152, dtype=torch.float64)"
53,en2ta,"tensor(0.4505, dtype=torch.float64)"
54,en2ta,"tensor(0.5196, dtype=torch.float64)"
55,en2ta,"tensor(0.4680, dtype=torch.float64)"
56,en2ta,"tensor(0.5277, dtype=torch.float64)"
57,en2ta,"tensor(0.4947, dtype=torch.float64)"
58,en2ta,"tensor(0.4882, dtype=torch.float64)"
59,en2ta,"tensor(0.5376, dtype=torch.float64)"
60,en2ta,"tensor(0.5102, dtype=torch.float64)"
61,en2ta,"tensor(0.5000, dtype=torch.float64)"
62,en2ta,"tensor(0.4882, dtype=torch.float64)"
63,en2ta,"tensor(0.4258, dtype=torch.float64)"
64,en2ta,"tensor(0.5816, dtype=torch.float64)"
65,en2ta,"tensor(0.4515, dtype=torch.float64)"
66,en2ta,"tensor(0.5074, dtype=torch.float64)"
67,en2ta,"tensor(0.4589, dtype=torch.float64)"
68,en2ta,"tensor(0.4657, dtype=torch.float64)"
69,en2ta,"tensor(0.5479, dtype=torch.float64)"
70,en2ta,"tensor(0.5000, dtype=torch.float64)"
71,en2ta,"tensor(0.4888, dtype=torch.float64)"
72,en2ta,"tensor(0.4351, dtype=torch.float64)"
73,en2ta,"tensor(0.4979, dtype=torch.float64)"
74,en2ta,"tensor(0.5279, dtype=torch.float64)"
75,en2ta,"tensor(0.4669, dtype=torch.float64)"
76,en2ta,"tensor(0.4796, dtype=torch.float64)"
77,en2ta,"tensor(0.4083, dtype=torch.float64)"
78,en2ta,"tensor(0.4614, dtype=torch.float64)"
79,en2ta,"tensor(0.5090, dtype=torch.float64)"
80,en2ta,"tensor(0.5183, dtype=torch.float64)"
81,en2ta,"tensor(0.4556, dtype=torch.float64)"
82,en2ta,"tensor(0.4466, dtype=torch.float64)"
83,en2ta,"tensor(0.4782, dtype=torch.float64)"
84,en2ta,"tensor(0.5068, dtype=torch.float64)"
85,en2ta,"tensor(0.4801, dtype=torch.float64)"
86,en2ta,"tensor(0.4863, dtype=torch.float64)"
87,en2ta,"tensor(0.4703, dtype=torch.float64)"
88,en2ta,"tensor(0.5229, dtype=torch.float64)"
89,en2ta,"tensor(0.4906, dtype=torch.float64)"
90,en2ta,"tensor(0.4937, dtype=torch.float64)"
91,en2ta,"tensor(0.4904, dtype=torch.float64)"
92,en2ta,"tensor(0.4859, dtype=torch.float64)"
93,en2ta,"tensor(0.4880, dtype=torch.float64)"
94,en2ta,"tensor(0.4346, dtype=torch.float64)"
95,en2ta,"tensor(0.4880, dtype=torch.float64)"
96,en2ta,"tensor(0.4660, dtype=torch.float64)"
97,en2ta,"tensor(0.4428, dtype=torch.float64)"
98,en2ta,"tensor(0.4866, dtype=torch.float64)"
99,en2ta,"tensor(0.5082, dtype=torch.float64)"
100,en2te,"tensor(0.5512, dtype=torch.float64)"
101,en2te,"tensor(0.5096, dtype=torch.float64)"
102,en2te,"tensor(0.4897, dtype=torch.float64)"
103,en2te,"tensor(0.5820, dtype=torch.float64)"
104,en2te,"tensor(0.5628, dtype=torch.float64)"
105,en2te,"tensor(0.4854, dtype=torch.float64)"
106,en2te,"tensor(0.5395, dtype=torch.float64)"
107,en2te,"tensor(0.5743, dtype=torch.float64)"
108,en2te,"tensor(0.4790, dtype=torch.float64)"
109,en2te,"tensor(0.4778, dtype=torch.float64)"
110,en2te,"tensor(0.5893, dtype=torch.float64)"
111,en2te,"tensor(0.5017, dtype=torch.float64)"
112,en2te,"tensor(0.5260, dtype=torch.float64)"
113,en2te,"tensor(0.4837, dtype=torch.float64)"
114,en2te,"tensor(0.5465, dtype=torch.float64)"
115,en2te,"tensor(0.5120, dtype=torch.float64)"
116,en2te,"tensor(0.5232, dtype=torch.float64)"
117,en2te,"tensor(0.4746, dtype=torch.float64)"
118,en2te,"tensor(0.4785, dtype=torch.float64)"
119,en2te,"tensor(0.5292, dtype=torch.float64)"
120,en2te,"tensor(0.4827, dtype=torch.float64)"
121,en2te,"tensor(0.5494, dtype=torch.float64)"
122,en2te,"tensor(0.5750, dtype=torch.float64)"
123,en2te,"tensor(0.5243, dtype=torch.float64)"
124,en2te,"tensor(0.5286, dtype=torch.float64)"
125,en2te,"tensor(0.5385, dtype=torch.float64)"
126,en2te,"tensor(0.5588, dtype=torch.float64)"
127,en2te,"tensor(0.4629, dtype=torch.float64)"
128,en2te,"tensor(0.4717, dtype=torch.float64)"
129,en2te,"tensor(0.4964, dtype=torch.float64)"
130,en2te,"tensor(0.5228, dtype=torch.float64)"
131,en2te,"tensor(0.5046, dtype=torch.float64)"
132,en2te,"tensor(0.4529, dtype=torch.float64)"
133,en2te,"tensor(0.4568, dtype=torch.float64)"
134,en2te,"tensor(0.6762, dtype=torch.float64)"
135,en2te,"tensor(0.5256, dtype=torch.float64)"
136,en2te,"tensor(0.5173, dtype=torch.float64)"
137,en2te,"tensor(0.4771, dtype=torch.float64)"
138,en2te,"tensor(0.5512, dtype=torch.float64)"
139,en2te,"tensor(0.6102, dtype=torch.float64)"
140,en2te,"tensor(0.5179, dtype=torch.float64)"
141,en2te,"tensor(0.5985, dtype=torch.float64)"
142,en2te,"tensor(0.4951, dtype=torch.float64)"
143,en2te,"tensor(0.4842, dtype=torch.float64)"
144,en2te,"tensor(0.6043, dtype=torch.float64)"
145,en2te,"tensor(0.5966, dtype=torch.float64)"
146,en2te,"tensor(0.5355, dtype=torch.float64)"
147,en2te,"tensor(0.5846, dtype=torch.float64)"
148,en2te,"tensor(0.4964, dtype=torch.float64)"
149,en2te,"tensor(0.5779, dtype=torch.float64)"
150,en2te,"tensor(0.5354, dtype=torch.float64)"
151,en2te,"tensor(0.5143, dtype=torch.float64)"
152,en2te,"tensor(0.6142, dtype=torch.float64)"
153,en2te,"tensor(0.4779, dtype=torch.float64)"
154,en2te,"tensor(0.5477, dtype=torch.float64)"
155,en2te,"tensor(0.5139, dtype=torch.float64)"
156,en2te,"tensor(0.6059, dtype=torch.float64)"
157,en2te,"tensor(0.4857, dtype=torch.float64)"
158,en2te,"tensor(0.6060, dtype=torch.float64)"
159,en2te,"tensor(0.5455, dtype=torch.float64)"
160,en2te,"tensor(0.5869, dtype=torch.float64)"
161,en2te,"tensor(0.5437, dtype=torch.float64)"
162,en2te,"tensor(0.5123, dtype=torch.float64)"
163,en2te,"tensor(0.5562, dtype=torch.float64)"
164,en2te,"tensor(0.6093, dtype=torch.float64)"
165,en2te,"tensor(0.4879, dtype=torch.float64)"
166,en2te,"tensor(0.5777, dtype=torch.float64)"
167,en2te,"tensor(0.5297, dtype=torch.float64)"
168,en2te,"tensor(0.5612, dtype=torch.float64)"
169,en2te,"tensor(0.5594, dtype=torch.float64)"
170,en2te,"tensor(0.5877, dtype=torch.float64)"
171,en2te,"tensor(0.5208, dtype=torch.float64)"
172,en2te,"tensor(0.4767, dtype=torch.float64)"
173,en2te,"tensor(0.5697, dtype=torch.float64)"
174,en2te,"tensor(0.5219, dtype=torch.float64)"
175,en2te,"tensor(0.4304, dtype=torch.float64)"
176,en2te,"tensor(0.5271, dtype=torch.float64)"
177,en2te,"tensor(0.4822, dtype=torch.float64)"
178,en2te,"tensor(0.5126, dtype=torch.float64)"
179,en2te,"tensor(0.5610, dtype=torch.float64)"
180,en2te,"tensor(0.5421, dtype=torch.float64)"
181,en2te,"tensor(0.4926, dtype=torch.float64)"
182,en2te,"tensor(0.4899, dtype=torch.float64)"
183,en2te,"tensor(0.5099, dtype=torch.float64)"
184,en2te,"tensor(0.5138, dtype=torch.float64)"
185,en2te,"tensor(0.5520, dtype=torch.float64)"
186,en2te,"tensor(0.5502, dtype=torch.float64)"
187,en2te,"tensor(0.5580, dtype=torch.float64)"
188,en2te,"tensor(0.6019, dtype=torch.float64)"
189,en2te,"tensor(0.5200, dtype=torch.float64)"
190,en2te,"tensor(0.5266, dtype=torch.float64)"
191,en2te,"tensor(0.5481, dtype=torch.float64)"
192,en2te,"tensor(0.5167, dtype=torch.float64)"
193,en2te,"tensor(0.4989, dtype=torch.float64)"
194,en2te,"tensor(0.5571, dtype=torch.float64)"
195,en2te,"tensor(0.5019, dtype=torch.float64)"
196,en2te,"tensor(0.4799, dtype=torch.float64)"
197,en2te,"tensor(0.5357, dtype=torch.float64)"
198,en2te,"tensor(0.5948, dtype=torch.float64)"
199,en2te,"tensor(0.5237, dtype=torch.float64)"
200,en2el,"tensor(0.7439, dtype=torch.float64)"
201,en2el,"tensor(0.7261, dtype=torch.float64)"
202,en2el,"tensor(0.6653, dtype=torch.float64)"
203,en2el,"tensor(0.7500, dtype=torch.float64)"
204,en2el,"tensor(0.7184, dtype=torch.float64)"
205,en2el,"tensor(0.7379, dtype=torch.float64)"
206,en2el,"tensor(0.7696, dtype=torch.float64)"
207,en2el,"tensor(0.8307, dtype=torch.float64)"
208,en2el,"tensor(0.6732, dtype=torch.float64)"
209,en2el,"tensor(0.6462, dtype=torch.float64)"
210,en2el,"tensor(0.7403, dtype=torch.float64)"
211,en2el,"tensor(0.7133, dtype=torch.float64)"
212,en2el,"tensor(0.7238, dtype=torch.float64)"
213,en2el,"tensor(0.6611, dtype=torch.float64)"
214,en2el,"tensor(0.7690, dtype=torch.float64)"
215,en2el,"tensor(0.7291, dtype=torch.float64)"
216,en2el,"tensor(0.7664, dtype=torch.float64)"
217,en2el,"tensor(0.6667, dtype=torch.float64)"
218,en2el,"tensor(0.6884, dtype=torch.float64)"
219,en2el,"tensor(0.7164, dtype=torch.float64)"
220,en2el,"tensor(0.7241, dtype=torch.float64)"
221,en2el,"tensor(0.6453, dtype=torch.float64)"
222,en2el,"tensor(0.7799, dtype=torch.float64)"
223,en2el,"tensor(0.6979, dtype=torch.float64)"
224,en2el,"tensor(0.7112, dtype=torch.float64)"
225,en2el,"tensor(0.7325, dtype=torch.float64)"
226,en2el,"tensor(0.8049, dtype=torch.float64)"
227,en2el,"tensor(0.6907, dtype=torch.float64)"
228,en2el,"tensor(0.6502, dtype=torch.float64)"
229,en2el,"tensor(0.6976, dtype=torch.float64)"
230,en2el,"tensor(0.6974, dtype=torch.float64)"
231,en2el,"tensor(0.7056, dtype=torch.float64)"
232,en2el,"tensor(0.6748, dtype=torch.float64)"
233,en2el,"tensor(0.7061, dtype=torch.float64)"
234,en2el,"tensor(0.7418, dtype=torch.float64)"
235,en2el,"tensor(0.7012, dtype=torch.float64)"
236,en2el,"tensor(0.6833, dtype=torch.float64)"
237,en2el,"tensor(0.7367, dtype=torch.float64)"
238,en2el,"tensor(0.7076, dtype=torch.float64)"
239,en2el,"tensor(0.7628, dtype=torch.float64)"
240,en2el,"tensor(0.6537, dtype=torch.float64)"
241,en2el,"tensor(0.7341, dtype=torch.float64)"
242,en2el,"tensor(0.7101, dtype=torch.float64)"
243,en2el,"tensor(0.6662, dtype=torch.float64)"
244,en2el,"tensor(0.7641, dtype=torch.float64)"
245,en2el,"tensor(0.7493, dtype=torch.float64)"
246,en2el,"tensor(0.7847, dtype=torch.float64)"
247,en2el,"tensor(0.7607, dtype=torch.float64)"
248,en2el,"tensor(0.6578, dtype=torch.float64)"
249,en2el,"tensor(0.7279, dtype=torch.float64)"
250,en2el,"tensor(0.7835, dtype=torch.float64)"
251,en2el,"tensor(0.7082, dtype=torch.float64)"
252,en2el,"tensor(0.8182, dtype=torch.float64)"
253,en2el,"tensor(0.6762, dtype=torch.float64)"
254,en2el,"tensor(0.7226, dtype=torch.float64)"
255,en2el,"tensor(0.6918, dtype=torch.float64)"
256,en2el,"tensor(0.7120, dtype=torch.float64)"
257,en2el,"tensor(0.6057, dtype=torch.float64)"
258,en2el,"tensor(0.7045, dtype=torch.float64)"
259,en2el,"tensor(0.7209, dtype=torch.float64)"
260,en2el,"tensor(0.6977, dtype=torch.float64)"
261,en2el,"tensor(0.6968, dtype=torch.float64)"
262,en2el,"tensor(0.6899, dtype=torch.float64)"
263,en2el,"tensor(0.7228, dtype=torch.float64)"
264,en2el,"tensor(0.8826, dtype=torch.float64)"
265,en2el,"tensor(0.7063, dtype=torch.float64)"
266,en2el,"tensor(0.7947, dtype=torch.float64)"
267,en2el,"tensor(0.7245, dtype=torch.float64)"
268,en2el,"tensor(0.7224, dtype=torch.float64)"
269,en2el,"tensor(0.7479, dtype=torch.float64)"
270,en2el,"tensor(0.7613, dtype=torch.float64)"
271,en2el,"tensor(0.6903, dtype=torch.float64)"
272,en2el,"tensor(0.6859, dtype=torch.float64)"
273,en2el,"tensor(0.7094, dtype=torch.float64)"
274,en2el,"tensor(0.7587, dtype=torch.float64)"
275,en2el,"tensor(0.6709, dtype=torch.float64)"
276,en2el,"tensor(0.7226, dtype=torch.float64)"
277,en2el,"tensor(0.6667, dtype=torch.float64)"
278,en2el,"tensor(0.7293, dtype=torch.float64)"
279,en2el,"tensor(0.7157, dtype=torch.float64)"
280,en2el,"tensor(0.7569, dtype=torch.float64)"
281,en2el,"tensor(0.7376, dtype=torch.float64)"
282,en2el,"tensor(0.7006, dtype=torch.float64)"
283,en2el,"tensor(0.7127, dtype=torch.float64)"
284,en2el,"tensor(0.7482, dtype=torch.float64)"
285,en2el,"tensor(0.8295, dtype=torch.float64)"
286,en2el,"tensor(0.7203, dtype=torch.float64)"
287,en2el,"tensor(0.7381, dtype=torch.float64)"
288,en2el,"tensor(0.7024, dtype=torch.float64)"
289,en2el,"tensor(0.7163, dtype=torch.float64)"
290,en2el,"tensor(0.7485, dtype=torch.float64)"
291,en2el,"tensor(0.7588, dtype=torch.float64)"
292,en2el,"tensor(0.6761, dtype=torch.float64)"
293,en2el,"tensor(0.7418, dtype=torch.float64)"
294,en2el,"tensor(0.7093, dtype=torch.float64)"
295,en2el,"tensor(0.7012, dtype=torch.float64)"
296,en2el,"tensor(0.7035, dtype=torch.float64)"
297,en2el,"tensor(0.7397, dtype=torch.float64)"
298,en2el,"tensor(0.8020, dtype=torch.float64)"
299,en2el,"tensor(0.6961, dtype=torch.float64)"
300,en2hy,"tensor(0.6521, dtype=torch.float64)"
301,en2hy,"tensor(0.6509, dtype=torch.float64)"
302,en2hy,"tensor(0.5446, dtype=torch.float64)"
303,en2hy,"tensor(0.7174, dtype=torch.float64)"
304,en2hy,"tensor(0.6521, dtype=torch.float64)"
305,en2hy,"tensor(0.6455, dtype=torch.float64)"
306,en2hy,"tensor(0.7809, dtype=torch.float64)"
307,en2hy,"tensor(0.7065, dtype=torch.float64)"
308,en2hy,"tensor(0.6069, dtype=torch.float64)"
309,en2hy,"tensor(0.5575, dtype=torch.float64)"
310,en2hy,"tensor(0.6605, dtype=torch.float64)"
311,en2hy,"tensor(0.6419, dtype=torch.float64)"
312,en2hy,"tensor(0.6253, dtype=torch.float64)"
313,en2hy,"tensor(0.5471, dtype=torch.float64)"
314,en2hy,"tensor(0.7359, dtype=torch.float64)"
315,en2hy,"tensor(0.6137, dtype=torch.float64)"
316,en2hy,"tensor(0.6911, dtype=torch.float64)"
317,en2hy,"tensor(0.5116, dtype=torch.float64)"
318,en2hy,"tensor(0.6239, dtype=torch.float64)"
319,en2hy,"tensor(0.7079, dtype=torch.float64)"
320,en2hy,"tensor(0.6706, dtype=torch.float64)"
321,en2hy,"tensor(0.6720, dtype=torch.float64)"
322,en2hy,"tensor(0.7771, dtype=torch.float64)"
323,en2hy,"tensor(0.6576, dtype=torch.float64)"
324,en2hy,"tensor(0.6637, dtype=torch.float64)"
325,en2hy,"tensor(0.6529, dtype=torch.float64)"
326,en2hy,"tensor(0.7841, dtype=torch.float64)"
327,en2hy,"tensor(0.6948, dtype=torch.float64)"
328,en2hy,"tensor(0.5772, dtype=torch.float64)"
329,en2hy,"tensor(0.6335, dtype=torch.float64)"
330,en2hy,"tensor(0.6483, dtype=torch.float64)"
331,en2hy,"tensor(0.6127, dtype=torch.float64)"
332,en2hy,"tensor(0.5888, dtype=torch.float64)"
333,en2hy,"tensor(0.6222, dtype=torch.float64)"
334,en2hy,"tensor(0.6667, dtype=torch.float64)"
335,en2hy,"tensor(0.6045, dtype=torch.float64)"
336,en2hy,"tensor(0.6443, dtype=torch.float64)"
337,en2hy,"tensor(0.6326, dtype=torch.float64)"
338,en2hy,"tensor(0.6370, dtype=torch.float64)"
339,en2hy,"tensor(0.6667, dtype=torch.float64)"
340,en2hy,"tensor(0.5672, dtype=torch.float64)"
341,en2hy,"tensor(0.6805, dtype=torch.float64)"
342,en2hy,"tensor(0.6564, dtype=torch.float64)"
343,en2hy,"tensor(0.5738, dtype=torch.float64)"
344,en2hy,"tensor(0.7167, dtype=torch.float64)"
345,en2hy,"tensor(0.7042, dtype=torch.float64)"
346,en2hy,"tensor(0.7283, dtype=torch.float64)"
347,en2hy,"tensor(0.6719, dtype=torch.float64)"
348,en2hy,"tensor(0.5736, dtype=torch.float64)"
349,en2hy,"tensor(0.7312, dtype=torch.float64)"
350,en2hy,"tensor(0.6575, dtype=torch.float64)"
351,en2hy,"tensor(0.7127, dtype=torch.float64)"
352,en2hy,"tensor(0.7053, dtype=torch.float64)"
